Date,GLD,ITA,JETS,SPY,TLT,USO,XLE,XLF,XLY,^VIX
2001-01-02,,,,81.77433013916016,,,8.46549129486084,14.094982147216797,9.540362358093262,29.989999771118164
2001-01-03,,,,85.70234680175781,,,8.20703411102295,14.855415344238281,10.29308795928955,26.600000381469727
2001-01-04,,,,84.77986907958984,,,7.9525556564331055,14.594265937805176,10.438963890075684,26.969999313354492
2001-01-05,,,,82.01234436035156,,,8.12353801727295,14.287008285522461,10.09469985961914,28.670000076293945
2001-01-08,,,,82.64720916748047,,,8.095703125,14.141067504882812,9.960493087768555,29.84000015258789
2001-01-09,,,,82.42900085449219,,,7.932673931121826,13.9029541015625,9.878795623779297,27.989999771118164
2001-01-10,,,,83.877197265625,,,7.984364032745361,14.133390426635742,9.942984580993652,26.799999237060547
2001-01-11,,,,83.95657348632812,,,8.071845054626465,14.164112091064453,10.030513763427734,25.790000915527344
2001-01-12,,,,83.79786682128906,,,8.020153999328613,13.895269393920898,10.024681091308594,24.559999465942383
2001-01-16,,,,84.33351135253906,,,8.0161771774292,14.141067504882812,10.258079528808594,25.280000686645508
2001-01-17,,,,84.72035217285156,,,7.976413726806641,14.164112091064453,10.11803913116455,24.93000030517578
2001-01-18,,,,85.56344604492188,,,7.825314521789551,13.956716537475586,9.966323852539062,23.3700008392334
2001-01-19,,,,85.07742309570312,,,7.7895307540893555,13.856863021850586,9.569538116455078,23.239999771118164
2001-01-22,,,,85.64285278320312,,,7.873030185699463,14.102662086486816,9.931309700012207,23.25
2001-01-23,,,,86.31737518310547,,,7.9962944984436035,14.240931510925293,10.048016548156738,21.56999969482422
2001-01-24,,,,86.5752182006836,,,7.988344669342041,14.32541275024414,10.059687614440918,22.030000686645508
2001-01-25,,,,86.35700988769531,,,8.22691822052002,14.456003189086914,10.217233657836914,22.639999389648438
2001-01-26,,,,86.2578125,,,8.087746620178223,14.509758949279785,10.106366157531738,22.56999969482422
2001-01-29,,,,86.71809387207031,,,8.021265029907227,14.521750450134277,10.30709457397461,22.610000610351562
2001-01-30,,,,87.47986602783203,,,8.08997631072998,14.649558067321777,10.336969375610352,22.56999969482422
2001-01-31,,,,86.98472595214844,,,8.176501274108887,14.467676162719727,10.669334411621094,22.020000457763672
2001-02-01,,,,87.56240844726562,,,8.072162628173828,14.487337112426758,10.65439510345459,21.65999984741211
2001-02-02,,,,85.57540893554688,,,8.20703411102295,14.526658058166504,10.452735900878906,21.950000762939453
2001-02-05,,,,86.20388793945312,,,8.372450828552246,14.624981880187988,10.392983436584473,22.190000534057617
2001-02-06,,,,85.94993591308594,,,8.425891876220703,14.339856147766113,10.404191017150879,21.979999542236328
2001-02-07,,,,85.50554656982422,,,8.448796272277832,14.305445671081543,10.426596641540527,21.670000076293945
2001-02-08,,,,84.50887298583984,,,8.494604110717773,14.26611614227295,10.120369911193848,21.459999084472656
2001-02-09,,,,83.6962661743164,,,8.6320219039917,14.325112342834473,9.989662170410156,22.030000686645508
2001-02-12,,,,84.65491485595703,,,8.517504692077637,14.526658058166504,10.269747734069824,21.920000076293945
2001-02-13,,,,83.96286010742188,,,8.4996919631958,14.443089485168457,10.407926559448242,21.3700008392334
2001-02-14,,,,83.83595275878906,,,8.438616752624512,14.275945663452148,10.30709457397461,21.520000457763672
2001-02-15,,,,84.64852142333984,,,8.329187393188477,14.275945663452148,10.30335807800293,20.270000457763672
2001-02-16,,,,82.7821044921875,,,8.402986526489258,14.280869483947754,10.172651290893555,22.1200008392334
2001-02-20,,,,81.50609588623047,,,8.354640007019043,13.754851341247559,10.30709457397461,24.690000534057617
2001-02-21,,,,79.74765014648438,,,8.298650741577148,13.34683609008789,9.862693786621094,25.75
2001-02-22,,,,79.8682632446289,,,8.25793170928955,13.440240859985352,9.709582328796387,26.760000228881836
2001-02-23,,,,79.32862854003906,,,8.153595924377441,13.376323699951172,9.87016773223877,27.209999084472656
2001-02-26,,,,81.01729583740234,,,8.242663383483887,13.671284675598145,10.172651290893555,25.43000030517578
2001-02-27,,,,80.2681884765625,,,8.19176959991455,13.818765640258789,10.120369911193848,26.489999771118164
2001-02-28,,,,78.68746185302734,,,8.077249526977539,13.494312286376953,9.90750789642334,28.350000381469727
2001-03-01,,,,79.10008239746094,,,8.168861389160156,13.509058952331543,9.746928215026855,28.079999923706055
2001-03-02,,,,78.47162628173828,,,8.354640007019043,13.52872371673584,9.821612358093262,27.43000030517578
2001-03-05,,,,79.18894958496094,,,8.40044116973877,13.459897994995117,9.717053413391113,27.1200008392334
2001-03-06,,,,80.03963470458984,,,8.443703651428223,13.499224662780762,9.963523864746094,25.889999389648438
2001-03-07,,,,80.61097717285156,,,8.62438678741455,13.78434944152832,10.20999813079834,24.1200008392334
2001-03-08,,,,80.69989776611328,,,8.710914611816406,13.838434219360352,10.374314308166504,24.290000915527344
2001-03-09,,,,78.31291198730469,,,8.67018985748291,13.518885612487793,10.269747734069824,25.6200008392334
2001-03-12,,,,74.96099090576172,,,8.382628440856934,12.855234146118164,9.888835906982422,30.31999969482422
2001-03-13,,,,76.19255828857422,,,8.283381462097168,13.199350357055664,9.844021797180176,27.549999237060547
2001-03-14,,,,74.68801879882812,,,8.158682823181152,12.589776039123535,9.631155967712402,29.610000610351562
2001-03-15,,,,74.70706939697266,,,8.163775444030762,12.968305587768555,9.73945426940918,28.559999465942383
2001-03-16,,,,73.2086181640625,,,8.027729034423828,12.79911994934082,9.54224967956543,29.90999984741211
2001-03-19,,,,74.69813537597656,,,8.129826545715332,12.947097778320312,9.654511451721191,29.780000686645508
2001-03-20,,,,72.69303894042969,,,8.201301574707031,12.587045669555664,9.676961898803711,30.959999084472656
2001-03-21,,,,71.45814514160156,,,7.966468334197998,12.222051620483398,9.617087364196777,31.93000030517578
2001-03-22,,,,70.73245239257812,,,7.731631278991699,11.906393051147461,9.317723274230957,32.84000015258789
2001-03-23,,,,72.87126922607422,,,7.792895793914795,12.409489631652832,9.422505378723145,30.450000762939453
2001-03-26,,,,73.80065155029297,,,7.894994735717773,12.606769561767578,9.587154388427734,29.040000915527344
2001-03-27,,,,75.30921936035156,,,7.938387870788574,12.961891174316406,9.796711921691895,27.040000915527344
2001-03-28,,,,73.22773742675781,,,7.823522567749023,12.892844200134277,9.635802268981934,28.579999923706055
2001-03-29,,,,73.5078125,,,7.65760612487793,12.86324691772461,9.729353904724121,29.170000076293945
2001-03-30,,,,74.27803039550781,,,7.8362836837768555,13.09013557434082,9.763029098510742,28.639999389648438
2001-04-02,,,,72.69303894042969,,,7.690789699554443,13.14930534362793,9.766776084899902,31.209999084472656
2001-04-03,,,,70.2677993774414,,,7.47892427444458,12.705416679382324,9.437470436096191,34.720001220703125
2001-04-04,,,,70.56063079833984,,,7.611661911010742,12.394688606262207,9.538506507873535,34.06999969482422
2001-04-05,,,,73.23410034179688,,,7.810758113861084,12.848454475402832,9.75180435180664,29.940000534057617
2001-04-06,,,,72.1201400756836,,,7.820969581604004,12.562382698059082,9.721868515014648,31.690000534057617
2001-04-09,,,,72.92220306396484,,,8.004749298095703,12.55744457244873,9.632058143615723,31.90999984741211
2001-04-10,,,,74.2525634765625,,,8.142589569091797,12.922430038452148,9.729353904724121,29.440000534057617
2001-04-11,,,,74.30348205566406,,,7.997093677520752,13.030945777893066,9.620834350585938,28.459999084472656
2001-04-12,,,,75.65301513671875,,,8.081327438354492,13.12958812713623,9.456182479858398,26.1200008392334
2001-04-16,,,,74.85725402832031,,,8.239582061767578,13.035877227783203,9.501089096069336,26.329999923706055
2001-04-17,,,,75.91393280029297,,,8.282975196838379,13.14438533782959,9.632058143615723,25.610000610351562
2001-04-18,,,,78.93118286132812,,,8.239582061767578,13.696799278259277,10.223306655883789,24.1299991607666
2001-04-19,,,,79.9814224243164,,,8.09664535522461,13.770772933959961,10.253239631652832,24.15999984741211
2001-04-20,,,,79.24940490722656,,,8.183429718017578,13.534032821655273,10.144718170166016,25.3799991607666
2001-04-23,,,,77.81083679199219,,,8.400397300720215,13.366332054138184,10.077367782592773,28.15999984741211
2001-04-24,,,,77.39068603515625,,,8.4157133102417,13.297279357910156,9.901487350463867,28.489999771118164
2001-04-25,,,,78.40280151367188,,,8.53567886352539,13.440322875976562,9.908973693847656,27.399999618530273
2001-04-26,,,,78.75293731689453,,,8.704143524169922,13.4945707321167,10.155950546264648,25.959999084472656
2001-04-27,,,,80.06422424316406,,,8.645440101623535,13.785574913024902,10.399184226989746,24.020000457763672
2001-04-30,,,,80.62438201904297,,,8.645440101623535,13.563616752624512,10.215824127197266,25.479999542236328
2001-05-01,,,,80.87259674072266,,,8.589282989501953,13.6770658493042,10.328085899353027,24.200000762939453
2001-05-02,,,,80.72615814208984,,,8.254899978637695,13.785574913024902,10.410407066345215,24.229999542236328
2001-05-03,,,,79.70133972167969,,,8.21406078338623,13.790509223937988,10.290660858154297,25.780000686645508
